geo_cep;geo_uf;geo_cidade;geo_bairro
60720420;CE;FORTALEZA;JOAO XXIII
60020030;CE;FORTALEZA;CENTRO
49400000;SE;LAGARTO;ZONA RURAL
6015016;CE;FORTALEZA;ALDEOTA
60000000;CE;MARACANAÚ;CENTRO
36020270;MG;JUIZ DE FORA;POÇO RICO
60415513;CE;FORTALEZA;AEROPORTO
83020540;PR;SÃO JOSÉ DOS PINHAIS;CAMPINA
60125150;CE;FORTALEZA;DIONISIO TORRES
60060440;CE;FORTALEZA;PRAIA DE IRACEMA
62770000;CE;PACOTI;CENTRO
62870000;CE;PACAJUS;.
06230110;SP;OSASCO;JD. PIRATININGA
60900000;CE;MARACAU ;PAJUÇARA
60000000;SP;SÃO PAULO;PAULISTA
62960000;CE;TABULEIRO DO NORTE;SAO FRANCISCO
60864467;CE;FORTALEZA;CAJAZEIRAS
62600000;CE;ITAPAGÉ;ZONA RURAL
60714903;CE;FORTALEZA;ITAPERI
50770720;PE;RECIFE;AFOGADOS
60010436;CE;FORTALEZA;JACARECANGA
96413000;RS;BAGÉ;INDUSTRIAL
61939120;CE;MARACANAU;DIST. INDUSTRIAL
08555200;SP;POA;JARDIM VIOLETA
60015061;CE;FORTALEZA;CENTRO 
60875420;CE;FORTALEZA;SÃO BENTO
60055172;CE;FORTALEZA;AEROLANDIA
60015290;CE;FORTALEZA;BENFICA
60710000;CE;FORTALEZA;MARAPONGA
60811620;CE;FORTALEZA;EDSON QUEIROZ
30664660;CE;FORTALEZA;CENTRO
62620000;CE;FORTALEZA;CENTRO
60125045;CE;FORTALEZA;ALDEOTA
60830641;CE;FORTALEZA;EDSON QUEIROZ
60180480;CE;FORTALEZA;MUCURIPE
60741900;CE;FORTALEZA;SERRINHA
60140000;CE;FORTALEZA;CENTRO
62840000;CE;BEBERIBE;PONTA DAGUA II
62674000;CE;SAO GONÇALO DO AMARANTE;COMPL DO PECEM
60760310;CE;FORTALEZA;PQUE. NOVO MONDUBIM
09651050;SP;SAO BERNADO DO CAMPO;RUDGE RAMOS
60055000;CE;FORTALEZA;CENTRO
60181832;CE;FORTALEZA;VICENTE PIZON
61600000;CE;CAUCAIA;URUCUTUBA
60000000;CE;FORTALEZA;MONDUMBIM
60000000;PR;PINHAIS;CENTRO
01154001;SP;SÃO PAULO;BARRA FUNDA
60410691;CE;FORTALEZA;AEROPORTO
61760000;CE;AQUIRAZ;TELHA
08577290;SP;ITAQUAQUECETUBA;MONTE BELO
62870000;CE;PACAJUS ;CROATA 1
60435682;CE;FORTALEZA;PARANGABA
60752310;CE;FORTALEZA;MUNDUBIM
60526720;CE;FORTALEZA ;ALTRA NUNES
61939210;CE;MARACANAU;DIST. INDUSTRIAL
62840000;CE;BEBERIBE;URUAU
07221030;SP;GUARULHOS;CIDADE INDL SATELITE
60020181;CE;FORTALEZA;BENFICA
68745000;PA;CASTANHAL;SETOR INDUSTRIAL
60873164;CE;FORTALEZA;ANCURI
60165011;CE;FORTALEZA;MEIRELES
60165121;CE;FORTALEZA;MEIRELES
62940000;CE;MORADA NOVA;PLANALTO DO AEROPORT
60035110;CE;FORTALEZA;-
60000000;CE;FORTALEZA;CIDADE DOS FUNCIONAR
60813815;CE;FORTALEZA;LUCIANO CAVALCANTE
08599000;SP;ITAQUAQUECETUBA;CENTRO
60055970;CE;FORTALEZA;CENTRO 
60035001;CE;FORTALEZA;CENTRO
