itm_item;grp_dscgrp;sgr_dscsgr;itm_descri;itm_marca
0000001372;MATERIAIS DURAVEIS;DIVERSOS;MEDALHA;
0000000543;ENLATADOS;DIVERSOS;AMEIXA EM CALDA CX.12X400G.;OLE
0000000718;MATINAIS;DIVERSOS;MARGARINA VEG. 60% LIP. C/SAL BAL.15KG.;PRIMOR
0000001454;MATERIAIS DURAVEIS;DIVERSOS;CAMISA ;
0000000012;CEREAIS;DIVERSOS;ACUCAR REFINADO FD.30X01KG.;OLHO D'AGUA
0000001067;;;CANETA PARA EVA;
0000001670;;;TINTA REABASTECEDORA P/QUADRO BCO. 40ML.;JAPAN
0000002114;BEBIDAS;DIVERSOS;POLPA DE AMEIXA PCT.10X100G;POLPA PURA
0000001864;;;PASTA CATALAGO C/50 SACOS;ACP
0000001827;MATINAIS;DIVERSOS;FARINHA LACTEA EM SACHET CX.12X230G.;NUTRILON
0000001041;MATERIAIS DURAVEIS;DIVERSOS;DISPENSER DE COPO PARA CAFE;TRILHA
0000000018;MATINAIS;DIVERSOS;CAFE MOIDO A VACUO PURO SELO ABIC CX.20X250G.;STA. CLARA PREMIO
0000000918;MATINAIS;DIVERSOS;FLOCOS DE CEREAIS SACHET NESTON CX.12X230G.;NESTLE
0000001590;TEMPEROS E CONDIMENTOS;DIVERSOS;MISTURA P/MOLHO BRANCO CX.10X500G.;NUTRIMENTAL
0000001767;FRIOS;DIVERSOS;NABO;CEASA
0000001345;EXPEDIENTE;DIVERSOS;MARCADOR DE PAGINAS ADESIVO POST-IT 400FLS.;
0000000630;BEBIDAS;DIVERSOS;REFRIGERANTE DE GUARANA ZERO CX.12X350ML.;ANTARCTICA
0000000866;MASSAS E BISCOITOS;DIVERSOS;BISCOITO AMANTEIGADO SAB. VARIADOS CX.20X400G.;FORTALEZA
0000001260;PRODUTOS DE LIMPEZA;DIVERSOS;ESPONJA DE ACO PCT.08UND.;BRILHONA
0000001243;MATERIAL DE LIMPEZA;DIVERSOS;VASSOURA DE PELO ANIMAL 50CM. C/CABO DE MADEIRA;FORTLEVES
0000001679;;;ENVELOPE OURO TAM.240X340MM. PCT.100UND.;
0000000705;EXPEDIENTE;DIVERSOS;CADERNO CAPA DURA 15 MATERIAS 300FLS;
0000000749;HORTIFRUTI;DIVERSOS;CENOURA EXTRA 1ª QUALIDADE;CEASA
0000000535;TEMPEROS E CONDIMENTOS;DIVERSOS;AZEITONA VERDE EM CONSERVA CX.24X200G.;RIVOLI
0000002093;MATERIAIS DURAVEIS;DIVERSOS;BOMBA A VACUO P/GARRAFAO DE AGUA;HUSTON
0000000563;MATERIAL DE LIMPEZA;DIVERSOS;SACO PLASTICO P/LIXO REFORCADO PCT.100X100L. ;TALIMPO
0000000767;TEMPEROS E CONDIMENTOS;DIVERSOS;MANJERICAO FD.15X08G.;MARIZA
0000002115;BEBIDAS;DIVERSOS;POLPA DE CAJA PCT.10X100G;POLPA PURA
